시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,휴무일,운영시간,주차 가능여부,반려동물 동반 가능정보,입장 가능 동물 크기,반려동물 제한사항,장소(실내) 여부,장소(실외)여부,기본 정보_장소설명,애견 동반 추가 요금,입장(이용료)가격 정보,반려동물 전용 정보,최종작성일,리 명칭
24시 신도림S동물의료센터,반려동물업,반려의료,동물병원,서울특별시,구로구,신도림동,435-10 번지,경인로,619-3 번,37.50688,126.884,8210,서울특별시 구로구 경인로 619-3,서울 구로구 신도림동 435-10,02-6949-3575,https://blog.naver.com/ssah24,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시 안박동물병원,반려동물업,반려의료,동물병원,서울특별시,강서구,등촌동,628-13 번지,양천로,510 번,37.56012,126.8563,7548,서울특별시 강서구 양천로 510,서울 강서구 등촌동 628-13,02-3664-7511,정보없음,매주 일요일,월~토 10:00~19:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시 애니동물병원,반려동물업,반려의료,동물병원,서울특별시,성북구,보문동,3-1 번지,보문로,99 번,37.58399,127.0198,2872,서울특별시 성북구 보문로 99,서울 성북구 보문동5가 3-1,02-926-8275,정보없음,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시 지구촌 동물메디컬 센터,반려동물업,반려의료,동물병원,서울특별시,구로구,구로동,505-17 번지,구로중앙로31길,30 번,37.49879,126.8848,8280,서울특별시 구로구 구로중앙로31길 30,서울 구로구 구로동 505-17,02-869-7582,https://blog.naver.com/dr_jiguchon,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시 청담우리 동물병원,반려동물업,반려의료,동물병원,서울특별시,강남구,삼성동,70-6 번지,삼성로,614 번,37.51449,127.0529,6085,서울특별시 강남구 삼성로 614,서울 강남구 삼성동 70-6,02-541-7515,https://www.chungdamah.co.kr/,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시 SNC 동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,강남구,역삼동,727-8 번지,논현로,416 번,37.49741,127.0389,6224,서울특별시 강남구 논현로 416,서울 강남구 역삼동 727-8,02-562-7582,http://blog.naver.com/sncamc,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시루시드동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,강북구,미아동,42-11 번지,월계로,3 번,37.60959,127.0307,1220,서울특별시 강북구 월계로 3,서울 강북구 미아동 42-11,02-941-7900,http://www.lucidamc.co.kr/,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시센트럴동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,성동구,행당동,318-36 번지,고산자로,207 번,37.55868,127.0337,4714,서울특별시 성동구 고산자로 207,서울 성동구 행당동 318-36,02-3395-7975,http://www.xn--24-qp6i57v43be1or8g.com/,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시스마트동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,은평구,응암동,91-5 번지,은평로,93 번,37.59979,126.9181,3461,서울특별시 은평구 은평로 93,서울 은평구 응암동 91-5,02-387-7582,https://blog.naver.com/eosksh,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시아프리카동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,강서구,등촌동,664-1 번지,공항대로,335 번,37.5582,126.8449,7590,서울특별시 강서구 공항대로 335,서울 강서구 등촌동 664-1,02-3665-7975,http://www.semyungah.com/,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시연동물의료센터,반려동물업,반려의료,동물병원,서울특별시,강서구,화곡동,1060-30 번지,화곡로,191 번,37.54294,126.8423,7700,서울특별시 강서구 화곡로 191,서울 강서구 화곡동 1060-30,0507-1326-7553,https://blog.naver.com/24_yeon,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시예담동물의료센터,반려동물업,반려의료,동물병원,서울특별시,은평구,역촌동,7-15 번지,연서로,122 번,37.60958,126.9168,3399,서울특별시 은평구 연서로 122,서울 은평구 역촌동 7-15,02-6952-7519,https://blog.naver.com/24yedamamc,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시예스동물병원,반려동물업,반려의료,동물병원,서울특별시,서초구,반포동,20-45 번지,잠원로,24 번,37.50712,127.0099,6544,서울특별시 서초구 잠원로 24,서울 서초구 반포동 20-45,02-534-3475,https://blog.naver.com/numberhana,연중무휴,"월~금 10:50~19:30, 토, 법정공휴일 11:00~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시잠실ON동물의료센터,반려동물업,반려의료,동물병원,서울특별시,송파구,잠실동,175-6 번지,올림픽로,76 번,37.51156,127.0792,5556,서울특별시 송파구 올림픽로 76,서울 송파구 잠실동 175-6,02-418-0724,http://24onamc.com,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시지구촌동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,구로구,구로동,505-17 번지,구로중앙로31길,30 번,37.49879,126.8848,8280,서울특별시 구로구 구로중앙로31길 30,서울 구로구 구로동 505-17,02-869-7582,http://blog.naver.com/dr_jiguchon,연중무휴,매일 09:00~23:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
24시OK동물병원,반려동물업,반려의료,동물병원,서울특별시,강남구,역삼동,766-20 번지,도곡로51길,4 번,37.49556,127.0498,6218,서울특별시 강남구 도곡로51길 4,서울 강남구 역삼동 766-20,02-569-7582,http://blog.naver.com/24okamc,연중무휴,매일 09:00~21:00,Y,Y,모두 가능,제한사항 없음,Y,Y,"일반동물병원, 매일 21:00~09:00 입원동물만 관리(응급진료~VIP동물의료센터 청담점 연계진료)",없음,,,,
24시SD동물영상의료센터,반려동물업,반려의료,동물병원,서울특별시,중구,신당동,855 번지,왕십리로,407 번,37.56478,127.0247,4580,서울특별시 중구 왕십리로 407,서울 중구 신당동 855,02-2039-0303,https://sdamc.co.kr/,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
25시동물병원,반려동물업,반려의료,동물병원,서울특별시,노원구,중계동,363 번지,한글비석로8길,16 번,37.64778,127.0776,1738,서울특별시 노원구 한글비석로8길 16,서울 노원구 중계동 363,02-935-0075,https://blog.naver.com/vetoh,"매주 토, 일",월~금 10:00~20:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
25시동물의료센터,반려동물업,반려의료,동물병원,서울특별시,송파구,삼전동,5-3 번지,삼전로,80 번,37.50554,127.0894,5606,서울특별시 송파구 삼전로 80,서울 송파구 삼전동 5-3,02-419-1351,https://blog.naver.com/jamsil25h,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
365 마음동물병원,반려동물업,반려의료,동물병원,서울특별시,구로구,궁동,170-11 번지,오리로,1286 번,37.49628,126.83,8255,서울특별시 구로구 오리로 1286,서울 구로구 궁동 170-11,02-2611-5223,http://www.guroah.com/,연중무휴,매일 10:00~20:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
365동물병원,반려동물업,반려의료,동물병원,서울특별시,도봉구,방학동,713-35 번지,방학로,54 번,37.66298,127.0464,1335,서울특별시 도봉구 방학로 54,서울 도봉구 방학동 713-35,02-6402-0365,https://www.instagram.com/365_vet/,연중무휴,"월~금 09:30~20:00, 토 09:30~19:00, 일, 법정공휴일 09:30~17:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
가나동물병원(서울 강동),반려동물업,반려의료,동물병원,서울특별시,강동구,암사동,451-12 번지,고덕로,101 번,37.55494,127.1367,5237,서울특별시 강동구 고덕로 101,서울 강동구 암사동 451-12,02-441-8588,정보없음,정보없음,정보없음,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
가나동물병원(서울 도봉구),반려동물업,반려의료,동물병원,서울특별시,도봉구,방학동,665-11 번지,방학로,162 번,37.66271,127.0341,1356,서울특별시 도봉구 방학로 162,서울 도봉구 방학동 665-11,02-3491-4748,정보없음,매주 일요일,"월~금 09:30~19:00, 토 09:30~15:00",N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
가나종합동물병원,반려동물업,반려의료,동물병원,서울특별시,양천구,목동,907 번지,목동서로,77 번,37.53596,126.878,7983,서울특별시 양천구 목동서로 77,서울 양천구 목동 907,02-2645-7588,정보없음,매주 일요일,월~토 09:00~20:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
가든펫동물병원,반려동물업,반려의료,동물병원,서울특별시,은평구,증산동,202-27 번지,증산로9길,26-23 번,37.587,126.9085,3496,서울특별시 은평구 증산로9길 26-23,서울 은평구 증산동 202-27,02-373-5555,http://healthypet.kr/,"매주 토, 일",월~금 10:00~16:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
가락종합동물병원,반려동물업,반려의료,동물병원,서울특별시,송파구,방이동,226-7 번지,오금로,247 번,37.50636,127.1209,5645,서울특별시 송파구 오금로 247,서울 송파구 방이동 226-7,02-413-0075,정보없음,매주 일요일,"월~금 09:30~19:00, 토 09:30~17:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
가람동물병원(서울 강동),반려동물업,반려의료,동물병원,서울특별시,강동구,성내동,550-2 번지,성내로,36 번,37.52903,127.1242,5399,서울특별시 강동구 성내로 36,서울 강동구 성내동 550-2,02-484-5502,정보없음,매주 일요일,"월~금 09:30~20:00, 토 09:30~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
가로수동물병원,반려동물업,반려의료,동물병원,서울특별시,강남구,신사동,549-1 번지,압구정로,134 번,37.52435,127.0235,6029,서울특별시 강남구 압구정로 134,서울 강남구 신사동 549-1,02-549-7579,https://blog.naver.com/garosuah,연중무휴,월~토 10:00~19:00(일 18:00),Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
가양쿨펫동물병원,반려동물업,반려의료,동물병원,서울특별시,강서구,가양동,18-24 번지,양천로,431 번,37.56426,126.85,7527,서울특별시 강서구 양천로 431,서울 강서구 가양동 18-24,02-3665-1838,http://blog.naver.com/coolpetah,매주 목요일,"월~수, 금~일 10:00~21:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
가온동물병원,반려동물업,반려의료,동물병원,서울특별시,강동구,고덕동,172-9 번지,상일로,153 번,37.56067,127.1705,5222,서울특별시 강동구 상일로 153,서울 강동구 고덕동 172-9,02-6953-7512,https://blog.naver.com/kaonah7512,매주 수요일,"월~화, 목~일 10:00~21:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
가온동물병원,반려동물업,반려의료,동물병원,서울특별시,양천구,목동,721-1 번지,등촌로,114 번,37.54014,126.8641,7957,서울특별시 양천구 등촌로 114,서울 양천구 목동 721-1,02-2643-2777,정보없음,연중무휴,매일 10:00~22:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
가재울봉쥬르동물병원,반려동물업,반려의료,동물병원,서울특별시,서대문구,북가좌동,304-29 번지,거북골로,178 번,37.57717,126.9109,3691,서울특별시 서대문구 거북골로 178,서울 서대문구 북가좌동 304-29,02-305-8275,https://blog.naver.com/bonjourah,"매주 목,일","월~수, 금 09:30~19:00, 토 09:30~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
가좌동물병원,반려동물업,반려의료,동물병원,서울특별시,서대문구,북가좌동,308-1 번지,응암로,77 번,37.58003,126.9111,3679,서울특별시 서대문구 응암로 77,서울 서대문구 북가좌동 308-1,02-307-4633,https://blog.naver.com/lym4833,연중무휴,"월~토 09:30~21:30, 일 10:00~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
강남25동물병원,반려동물업,반려의료,동물병원,서울특별시,강남구,논현동,90-6 번지,학동로,235 번,37.51558,127.035,6053,서울특별시 강남구 학동로 235,서울 강남구 논현동 90-6,02-545-8575,정보없음,매주 토요일,"월~금 09:00~21:30, 일 12:30~21:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
강남동물병원,반려동물업,반려의료,동물병원,서울특별시,강남구,논현동,234-26 번지,봉은사로,205 번,37.50777,127.0345,6109,서울특별시 강남구 봉은사로 205,서울 강남구 논현동 234-26,02-514-7582,정보없음,정보없음,정보없음,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
강남서초 동물병원,반려동물업,반려의료,동물병원,서울특별시,서초구,서초동,1648-9 번지,사임당로,97 번,37.49026,127.0204,6637,서울특별시 서초구 사임당로 97,서울 서초구 서초동 1648-9,02-598-9875,정보없음,매주 일요일,"화~금 10:00~18:00, 월, 토 10:00~16:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
강남예치과동물병원,반려동물업,반려의료,동물병원,서울특별시,강남구,삼성동,9-5 번지,선릉로126길,6 번,37.51516,127.0426,6092,서울특별시 강남구 선릉로126길 6,서울 강남구 삼성동 9-5,02-517-5585,https://www.instagram.com/yeah_dental_animalclinic/,"매주 토, 일",월~금 09:30~18:30,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
강동24시 SKY 동물의료센터,반려동물업,반려의료,동물병원,서울특별시,강동구,성내동,244-2 번지,천호대로,1122 번,37.53434,127.136,5373,서울특별시 강동구 천호대로 1122,서울 강동구 성내동 244-2,02-472-7579,http://www.skyamg.co.kr,연중무휴,매일 00:00~24:00,Y,Y,"개, 고양이, 파충류, 특수동물",제한사항 없음,Y,Y,일반동물병원,없음,,,,
강동동물병원,반려동물업,반려의료,동물병원,서울특별시,강동구,길동,336-4 번지,양재대로,1532 번,37.54237,127.1419,5303,서울특별시 강동구 양재대로 1532,서울 강동구 길동 336-4,02-472-7343,정보없음,연중무휴,"월~금 10:00~21:00, 토 10:00~21:00, 일 15:00~19:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
강북 24시 N 동물의료센터,반려동물업,반려의료,동물병원,서울특별시,성북구,길음동,1163 번지,삼양로4길,3 번,37.60582,127.0244,2732,서울특별시 성북구 삼양로4길 3,서울 성북구 길음동 1163,02-984-0075,https://www.namc.co.kr/,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
강북동물병원,반려동물업,반려의료,동물병원,서울특별시,강북구,번동,309 번지,오현로,194 번,37.62884,127.0399,1224,서울특별시 강북구 오현로 194,서울 강북구 번동 309,02-985-7525,정보없음,정보없음,정보없음,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
강북동물병원,반려동물업,반려의료,동물병원,서울특별시,성북구,종암동,19-1 번지,종암로,65 번,37.59619,127.0352,2810,서울특별시 성북구 종암로 65,서울 성북구 종암동 19-1,02-924-4555,정보없음,연중무휴,매일 10:00~20:00,N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
강북우리동물의료센터,반려동물업,반려의료,동물병원,서울특별시,도봉구,창동,731-72 번지,도봉로,586 번,37.65686,127.04,1401,서울특별시 도봉구 도봉로 586,서울 도봉구 창동 731-72,02-999-7582,https://blog.naver.com/gb-woori,연중무휴,"월~토 09:30~20:00, 일, 법정공휴일 09:30~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
강서동물병원,반려동물업,반려의료,동물병원,서울특별시,강서구,화곡동,421-23 번지,곰달래로15길,46 번,37.53223,126.8395,7771,서울특별시 강서구 곰달래로15길 46,서울 강서구 화곡동 421-23,02-2691-5900,https://blog.naver.com/kangseoah,매주 일요일,"월~금 10:00~18:00, 토 10:00~17:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
강서YD동물의료센터,반려동물업,반려의료,동물병원,서울특별시,강서구,등촌동,658-4 번지,화곡로,371 번,37.55696,126.8522,7590,서울특별시 강서구 화곡로 371,서울 강서구 등촌동 658-4,02-518-7500,정보없음,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
강앤정 동물병원,반려동물업,반려의료,동물병원,서울특별시,서대문구,남가좌동,385 번지,가재울미래로,2 번,37.57442,126.9179,3709,서울특별시 서대문구 가재울미래로 2,서울 서대문구 남가좌동 385,02-305-7505,https://blog.naver.com/knjamc,연중무휴,"월~토 09:30~22:30, 일, 법정공휴일 09:30~18:30",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
개명동물병원,반려동물업,반려의료,동물병원,서울특별시,구로구,개봉동,403-138 번지,개봉로,50 번,37.49013,126.8563,8332,서울특별시 구로구 개봉로 50,서울 구로구 개봉동 403-138,02-2619-0888,정보없음,매주 일요일,월~토 10:00~20:00,N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
개봉동물병원,반려동물업,반려의료,동물병원,서울특별시,구로구,고척동,265-4 번지,고척로,157 번,37.50343,126.8511,8246,서울특별시 구로구 고척로 157,서울 구로구 고척동 265-4,02-2615-5014,정보없음,매주 일요일,월~토 10:00~21:00,N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
개와냥이동물병원,반려동물업,반려의료,동물병원,서울특별시,은평구,대조동,14-27 번지,통일로,727-5 번,37.61022,126.9292,3397,서울특별시 은평구 통일로 727-5,서울 은평구 대조동 14-27,02-352-7275,https://blog.naver.com/kwangnyeon99,연중무휴,"월~토 10:00~19:00, 법정공휴일 10:00~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
개포 한 동물병원,반려동물업,반려의료,동물병원,서울특별시,강남구,개포동,1187-1 번지,논현로10길,14 번,37.47426,127.0498,6314,서울특별시 강남구 논현로10길 14,서울 강남구 개포동 1187-1,02-575-7581,정보없음,연중무휴,"월~토, 법정공휴일 10:00~19:00",N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
개포동물병원,반려동물업,반려의료,동물병원,서울특별시,강남구,개포동,186-17 번지,개포로,512 번,37.48931,127.0688,6329,서울특별시 강남구 개포로 512,서울 강남구 개포동 186-17,02-3412-7582,정보없음,"매주 토, 일",월~금 10:00~21:00,N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
개포별빛동물병원,반려동물업,반려의료,동물병원,서울특별시,강남구,개포동,1229-11 번지,논현로,70 번,37.47644,127.0463,6307,서울특별시 강남구 논현로 70,서울 강남구 개포동 1229-11,02-573-7582,https://starlightah.modoo.at/,연중무휴,"월~금 09:00~20:00, 토 10:00~20:00, 일, 법정공휴일 10:00~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
건국대학교 부속 동물병원,반려동물업,반려의료,동물병원,서울특별시,광진구,화양동,1 번지,능동로,120 번,37.53918,127.0747,5029,서울특별시 광진구 능동로 120,서울 광진구 화양동 1,02-450-0472,정보없음,"매주 토, 일",월~금 09:00~17:30,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
경인동물의료센터,반려동물업,반려의료,동물병원,서울특별시,영등포구,영등포동,423-44 번지,경인로,832 번,37.51573,126.9055,7306,서울특별시 영등포구 경인로 832,서울 영등포구 영등포동 423-44,02-571-8275,http://giamc.com/,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
경희궁 바른 동물병원,반려동물업,반려의료,동물병원,서울특별시,종로구,홍파동,199 번지,송월길,99 번,37.57086,126.9624,3165,서울특별시 종로구 송월길 99,서울 종로구 홍파동 199,02-735-9088,https://blog.naver.com/ghg_petdoctor,매주 일요일,"월~금 10:00~19:30, 토 10:00~18:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
고덕 고래힐동물병원,반려동물업,반려의료,동물병원,서울특별시,강동구,고덕동,688 번지,아리수로50길,50 번,37.55769,127.1486,5229,서울특별시 강동구 아리수로50길 50,서울 강동구 고덕동 688,02-441-5515,https://blog.naver.com/goraehillah,법정공휴일 당일,"월~토 10:00~22:00, 일 10:00~19:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
고덕 동물의료센터,반려동물업,반려의료,동물병원,서울특별시,강동구,고덕동,210-1 번지,고덕로,399 번,37.55744,127.1697,5222,서울특별시 강동구 고덕로 399,서울 강동구 고덕동 210-1,02-441-7585,https://blog.naver.com/godeokamc,매주 일요일,월~토 10:00~20:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
고덕24시 동물병원,반려동물업,반려의료,동물병원,서울특별시,강동구,명일동,48-17 번지,동남로,877 번,37.55202,127.1558,5269,서울특별시 강동구 동남로 877,서울 강동구 명일동 48-17,02-6227-8275,https://www.instagram.com/koduk24_ah/,연중무휴,매일 00:00~24:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
고득영동물병원,반려동물업,반려의료,동물병원,서울특별시,강서구,화곡동,861-8 번지,곰달래로,199 번,37.53143,126.855,7749,서울특별시 강서구 곰달래로 199,서울 강서구 화곡동 861-8,02-2608-0973,정보없음,연중무휴,매일 09:00~21:00,Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
고려동물병원,반려동물업,반려의료,동물병원,서울특별시,노원구,상계동,79-145 번지,덕릉로,738 번,37.66346,127.0762,1648,서울특별시 노원구 덕릉로 738,서울 노원구 상계동 79-145,02-3391-0075,정보없음,"매주 일요일, 법정공휴일","월~금 09:00~20:00, 토 09:00~19:00",Y,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
고려동물병원,반려동물업,반려의료,동물병원,서울특별시,관악구,신림동,1655-23 번지,시흥대로,552-1 번,37.48227,126.9015,8768,서울특별시 관악구 시흥대로 552-1,서울 관악구 신림동 1655-23,02-861-7582,정보없음,정보없음,정보없음,N,Y,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,,,,
고려종합동물병원,반려동물업,반려의료,동물병원,서울특별시,강남구,도곡동,527-3 번지,선릉로,225 번,37.49536,127.0527,6276,서울특별시 강남구 선릉로 225,서울 강남구 도곡동 527-3,02-575-7999,정보없음,매주 일요일,"월~금 10:00~20:00, 토 10:00~19:00",Y,Y,모두 가능,제한사항 없음,Y,Y,"일반동물병원, 예약 시 응급진료 가능",없음,,,,
